subject,predicate,object,evidence,confidence
President Trump,scores,Gaza ceasefire deal,President Trump scores an international win with the Gaza ceasefire deal,1.0
Marjorie Taylor Greene,calling on,Republicans,Marjorie Taylor Greene is calling on Republicans to get the government back to business,1.0
Mike Johnson,isn't ready to,negotiate,Speaker of the House Mike Johnson still isn't ready to negotiate,1.0
Cheryl Hines,is wife of,Robert F. Kennedy Jr.,wife of controversial Health and Human Services Secretary Robert F. Kennedy Jr.,1.0
Robert F. Kennedy Jr.,supports,President Trump,he throws his support behind... now President Trump,1.0
Marjorie Taylor Greene,attacking,her own party,So she's attacking her own party right now,1.0
Donald Trump,directed,Pentagon,Trump's now directed the Pentagon to pay troops,1.0
Larry David,introduced,Cheryl Hines,It was Larry David in 2005 who introduced you to your husband,1.0
Robert F. Kennedy Jr.,sued,Monsanto,he sued Monsanto because of Roundup,1.0
Robert F. Kennedy Jr.,sued,DuPont,He sued DuPont,1.0
Robert F. Kennedy Jr.,sued,Exxon,he sued Exxon,1.0
